state,saledate,productcategoryname,dollarcount,dollarweight,dollartotal
MA,3/7/19,Buds,18086.97,322933.76,341020.73
MA,11/10/20,Raw Pre-Rolls,0,253108.33,253108.33
MA,3/10/19,Infused (non-edible),5442.35,0,5442.35
MA,7/9/19,Infused (non-edible),63580.26,0,63580.26
MA,9/5/19,Concentrate (Each),445505.56,0,445505.56
MA,4/15/21,Infused (edible),475591.66,0,475591.66
MA,5/26/21,Infused (non-edible),9335.18,0,9335.18
MA,12/3/18,Concentrate,503.9,0,503.9
MA,10/18/20,Vape Product,475046.01,0,475046.01
MA,3/1/20,Shake/Trim (by strain),0,14774.15,14774.15
MA,7/5/20,Shake/Trim,0,290,290
MA,12/3/18,Concentrate (Each),93950.77,0,93950.77
MA,12/4/20,Shake/Trim (by strain),0,13661.86,13661.86
MA,3/21/21,Concentrate,0,28783.04,28783.04
MA,2/26/19,Infused (non-edible),1573.84,0,1573.84
MA,11/3/20,Infused Pre-Rolls,0,12629.27,12629.27
MA,5/10/21,Infused (non-edible),9432.35,0,9432.35
